Dataset,Banyak Baris (n),Banyak kolom (d),Jumlah Kelas (K),Time (1 node),F1 Score (1 node),Biaya (1 node),Time (2 node),F1 Score (2 node),Biaya (2 node),Time (3 node),F1 Score (3 node),Biaya (3 node),Time (4 node),F1 Score (4 node),Biaya (4 node)
creditcard_n1000k_d1000,1000000,1000,2,214.61,0.999,1162.676501,201.74,0.999,1208.723585,197.84,0.9992,1185.356766,197.47,0.9991,1183.139914
creditcard_n1000k_d200,1000000,200,2,131.69,0.9992,713.4470363,129.06,0.9991,773.2619504,108.21,0.9991,648.3393433,107.26,0.9929,642.647426
creditcard_n1000k_d30,1000000,30,2,76.57,0.9991,414.8275463,70.51,0.999,422.460097,62.26,0.9991,373.0302885,62.32,0.9991,373.389778
creditcard_n100k_d1000,100000,1000,2,97.35,0.9994,527.4057938,97.84,0.9993,586.2075718,91.22,0.9991,546.5438952,93.58,0.9991,560.6838162
creditcard_n100k_d200,100000,200,2,68.93,0.9991,373.4368913,68.84,0.9993,412.4543055,63.48,0.9991,380.3399086,61.76,0.9992,370.0345425
creditcard_n100k_d30,100000,30,2,28.96,0.9989,156.89442,26.53,0.999,158.9542813,24.84,0.9992,148.8286599,25.81,0.999,154.6404071
creditcard_n284k_d1000,284000,1000,2,74.43,0.9992,403.2338288,74.87,0.9991,448.5830019,65.17,0.999,390.46553,64.58,0.9992,386.9305498
creditcard_n284k_d200,284000,200,2,72.97,0.9992,395.3240963,71.65,0.999,429.2903978,66.17,0.9991,396.457022,67.17,0.9992,402.4485139
creditcard_n284k_d30,284000,30,2,37.58,0.999,203.5943475,36.73,0.9992,220.0674991,35.38,0.9989,211.978985,35.57,0.9991,213.1173685
covtype_n100k_d1000,100000,100,7,174.02,0.7108,942.7751025,171.03,0.7138,1024.724867,155.31,0.7138,930.5386139,150.98,0.7138,904.5954538
 covtype_n100k_d200,100000,200,7,88.99,0.7119,482.1144488,91.42,0.7179,547.7421936,79.24,0.7179,474.7658217,80.57,0.7179,482.734506
 covtype_n100k_d54,100000,54,7,72.64,0.7098,393.53628,75.4,0.7103,451.7584926,67.51,0.7103,404.4856212,64.76,0.7103,388.0090183
covtype_n581k_d1000,581000,1000,7,165.91,0.7155,898.8381638,154.26,0.7151,924.2475474,135.91,0.7158,814.3036702,131.03,0.7157,785.0651895
covtype_n581k_d200,581000,200,7,155.22,0.7138,840.9237525,138.13,0.7153,827.6047823,128.24,0.7154,768.348927,129.33,0.7142,774.8796532
covtype_n581k_d54,581000,54,7,141.46,0.7108,766.3772325,133.31,0.7114,798.7257911,126.53,0.7125,758.1034757,124.9,0.7115,748.3373439
